,tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,Unnamed: 9,totpop16,pop24_16,NHW16,A20_34y16,College16,mdfami16,mdrent16,Unnamed: 17,NHW00_16,A20_34y00_16,College00_16,mdfami00_16,mdrent00_16,Unnamed: 23,scores_raw,score_0.025,score_0.5,score_0.975,Unnamed: 28,medprice04,medpr_unit04,medpr_sf04,medprice15,medpr_unit15,medpr_sf15,medpr_sf15_IA,sales04,sales15,Status_NYC
1799,36081071305,Forest Hills,4558,3541,3103.0,1113,1762.0,55893,913,,4951,3926,2587,1050,2485,91080,1831,,-0.232468784,-0.131488588,0.272,0.629542161,1.005476451,,-0.184810697,-1.451745387,-0.390192631,0.67875344,,634000.0,550000.0,331.91,992500.0,992500.0,665.83,520.0,6.0,2.0,High to High
1800,36081071306,Forest Hills,5881,4569,4004.0,1444,2274.0,55893,913,,6005,4582,2886,1432,2314,84107,1536,,-0.29410448,-0.028788106,0.015,0.50478593,0.682365827,,-0.891492358,-1.589107444,-0.647762972,0.317094179,,520000.0,275000.0,325.3,710000.0,419500.0,441.9,345.0,31.0,11.0,High to High
1801,36081071701,Rego Park,4451,3424,2381.0,953,1491.0,50145,762,,5591,4607,3366,1312,2336,77083,1357,,0.125441222,0.09599617,0.164,0.537202114,0.780839895,,-0.167668026,-1.4345695,-0.551034238,0.308111562,,640000.0,183333.33,100.59,1300000.0,323389.021,269.38,210.0,5.0,3.0,Low to Low
1802,36081071702,Rego Park,4706,3621,2518.0,1015,1577.0,50145,762,,3716,2989,1502,717,1605,59083,1227,,-0.244576616,-0.1053991,0.233,0.178243095,0.61023622,,-1.245582855,-1.849167712,-0.959044956,-0.086328815,,757680.0,17640.0,19.56,180000.0,403.587,0.46,0.0,7.0,1.0,Low to Low
1803,36081071900,Forest Hills,3228,2136,1888.0,691,727.0,37951,746,,2271,1802,1349,568,674,64091,1409,,0.015608557,0.168386903,0.099,0.688782904,0.888739946,,0.106131131,-1.441735156,-0.546693618,0.371435276,,507000.0,282250.0,252.625,750000.0,462500.0,421.2,329.0,40.0,21.0,High to High
1804,36081072100,Forest Hills,5243,3968,3398.0,1003,1536.0,39899,719,,4531,3602,2450,945,1520,62008,1126,,-0.165687971,0.090226342,0.09,0.554124164,0.566063978,,-0.681397976,-1.670544669,-0.702116734,0.253836063,,490000.0,490000.0,279.985,772000.0,695000.0,417.67,326.0,40.0,11.0,High to High
1805,36081072300,Forest Hills,1743,1290,1176.0,286,880.0,117732,1535,,2102,1426,1195,242,1045,173200,2861,,-0.157392619,-0.298360536,0.074,0.471137838,0.863843648,,-1.010847971,-1.859333169,-0.936460606,-0.025520728,,942500.0,934000.0,395.205,1490000.0,1480000.0,620.49,485.0,76.0,71.0,High to High
1806,36081072900,Forest Hills,1453,1053,796.0,258,367.0,70682,893,,1254,921,583,219,477,115250,1495,,-0.15135987,-0.016458959,0.486,0.630542429,0.674132139,,-0.203186629,-1.608432797,-0.565918033,0.510829297,,525000.0,504950.0,342.07,683000.0,671250.0,495.975,387.5,58.0,36.0,High to High
1807,36081073100,Forest Hills,1739,1311,1132.0,319,632.0,71813,915,,1642,1165,1041,250,593,119917,1900,,-0.026063299,-0.170004467,0.056,0.669850863,1.076502732,,-0.253867507,-1.577331357,-0.589433375,0.410745475,,575000.0,479000.0,361.41,857500.0,753500.0,577.385,451.0,59.0,50.0,High to High
1808,36081073700,Forest Hills,1849,1616,1348.0,522,949.0,86527,846,,1722,1466,1086,433,1026,136029,1640,,-0.134945047,-0.109321114,0.192,0.572098882,0.938534279,,-0.317012008,-1.556337835,-0.636019111,0.272588894,,857500.0,812000.0,353.16,1675000.0,1620000.0,603.56,472.0,18.0,23.0,High to High
1809,36081073900,Forest Hills,4994,4268,4094.0,1091,2161.0,72392,935,,5626,4403,3080,903,2831,121310,1724,,-0.332191891,-0.265297006,0.27,0.675737651,0.843850267,,-0.652286207,-1.594825308,-0.621372696,0.299233283,,499000.0,499000.0,141.09,1357500.0,1312500.0,615.02,480.5,15.0,10.0,Low to High
1810,36081074100,Forest Hills,3079,2521,2259.0,627,1392.0,64118,760,,3033,2420,1780,536,1551,90625,1494,,-0.20009014,-0.132170263,0.161,0.413409651,0.965789474,,-0.560609531,-1.630238996,-0.704695794,0.211760573,,843750.0,843750.0,331.22,1150000.0,1150000.0,535.13,418.0,23.0,15.0,High to High
1811,36081074300,Forest Hills,4365,3249,2500.0,983,1328.0,46406,757,,4483,3342,2417,793,1417,60828,1219,,-0.058647781,-0.214519915,0.037,0.310778779,0.610303831,,-1.382068154,-1.968202923,-1.020042299,-0.091637916,,572500.0,452500.0,296.98,896000.0,477500.0,423.01,330.5,46.0,18.0,High to High
1812,36081074500,Forest Hills,3066,2223,1889.0,721,612.0,37115,654,,4120,2624,2389,735,1076,68426,1168,,-0.058849394,-0.241375247,0.489,0.843621177,0.785932722,,-0.181376167,-1.619425437,-0.663606563,0.29739994,,440000.0,363000.0,264.13,680000.0,577500.0,387.78,302.5,24.0,12.0,High to High
1813,36081074700,Forest Hills,2621,1732,773.0,624,789.0,57375,849,,3418,2590,1105,561,1155,79612,1263,,0.096169582,-0.310596897,-0.021,0.387572985,0.487632509,,-1.679042298,-2.286502619,-1.234779791,-0.16243172,,556500.0,388000.0,262.0,902000.0,835000.0,489.875,383.0,49.0,16.0,High to High
1814,36081074900,Forest Hills,1847,1293,1368.0,208,854.0,108734,1937,,1492,1040,1084,143,859,174583,2000,,-0.019062681,-0.148919236,0.251,0.605597145,0.032524522,,-1.763163569,-2.180819459,-1.178214788,-0.170292371,,998000.0,980000.0,410.6,1595000.0,1570000.0,680.69,532.0,67.0,47.0,High to High
1815,36081075701,Forest Hills,3209,2682,2177.0,737,1496.0,77711,892,,5107,4091,2544,778,3113,112431,1707,,-0.265718583,-0.33669088,0.364,0.446783596,0.91367713,,-0.820837707,-1.786848646,-0.740967124,0.360013887,,541500.0,28844.61,32.26,1550000.0,488333.333,425.32,332.0,8.0,3.0,Low to High
1816,36081075702,Forest Hills,5786,4836,3924.0,1336,2697.0,77711,892,,4033,3312,2205,642,2050,136125,1435,,-0.193824116,-0.310588097,0.11,0.751682516,0.608744395,,-1.089748656,-1.840332158,-0.90043931,0.060423995,,910000.0,895000.0,283.425,1500000.0,1472300.0,609.37,474.0,48.0,30.0,High to High
1817,36081076901,Forest Hills,3520,2841,2277.0,944,1399.0,79191,967,,4182,3261,2200,894,2426,135583,1678,,-0.186760836,-0.202879167,0.511,0.712101123,0.735263702,,-0.344603904,-1.593237125,-0.621805117,0.352842002,,711500.0,499250.0,344.21,1072500.0,847250.0,564.47,441.0,38.0,14.0,High to High
1818,36081076902,Forest Hills,1484,1126,876.0,456,536.0,52387,888,,1433,1060,717,355,658,91429,1735,,-0.152376947,-0.193784356,0.304,0.745261229,0.953828829,,-0.172590404,-1.459946704,-0.41191625,0.644412232,,690000.0,665000.0,275.78,1262500.0,1262500.0,510.26,399.0,7.0,6.0,High to High
1819,36081077300,Kew Gardens,1936,1477,1289.0,626,768.0,61470,844,,2113,1664,963,432,1063,89643,1270,,-0.315490901,-0.36771152,0.229,0.458321132,0.504739336,,-1.621854756,-1.801779852,-0.915818441,-0.038147706,,784000.0,710000.0,263.98,1200000.0,1200000.0,483.5,378.0,17.0,17.0,High to High
1820,36081077500,Kew Gardens,2479,1849,1671.0,594,928.0,62269,772,,2073,1568,1452,544,754,143889,1389,,0.039124037,0.095190529,-0.042,1.310764586,0.799222798,,0.242909733,-1.219381665,-0.261886105,0.703510019,,875000.0,857500.0,264.8,1100000.0,1039000.0,438.9,343.0,27.0,19.0,High to High
1821,36081077902,Kew Gardens Hills,5389,3242,4436.0,1159,1543.0,65142,964,,5322,3112,4501,985,1827,92769,1553,,0.027426561,-0.139430187,0.234,0.424104265,0.610995851,,-0.860166798,-1.591031082,-0.56614265,0.432533795,,500000.0,459000.0,286.52,691500.0,675000.0,395.57,309.0,119.0,99.0,High to High
1822,36081077903,Kew Gardens Hills,2981,1975,1301.0,736,563.0,47208,817,,3090,2273,1664,592,1032,80625,1283,,0.233898744,-0.224025609,0.593,0.707867311,0.570379437,,-0.383676817,-1.451864,-0.395425495,0.67356521,,654500.0,654500.0,284.305,850000.0,685000.0,559.7,437.0,16.0,9.0,High to High
1823,36081077904,Kew Gardens Hills,6303,4182,3091.0,1405,1888.0,58234,858,,5931,3963,3310,1547,1506,72216,1697,,0.13801601,0.170128002,-0.158,0.240100285,0.977855478,,-0.559665025,-1.519770952,-0.586878666,0.353099809,,444000.0,410000.0,284.335,605000.0,599000.0,398.99,312.0,130.0,83.0,High to High
1824,36081077905,Kew Gardens Hills,2411,1955,1088.0,461,1028.0,63276,804,,2676,2054,1027,536,1146,90533,1350,,-0.149542433,0.047550493,0.061,0.430763639,0.679104478,,-0.730384932,-1.580704526,-0.716758364,0.160678406,,425000.0,260000.0,216.67,590000.0,383333.333,414.22,324.0,9.0,5.0,High to High
1825,36081077906,Kew Gardens Hills,3990,2552,2200.0,915,739.0,41624,729,,3703,2517,2050,938,1062,73209,1660,,0.004038495,0.104589544,0.457,0.758817029,1.277091907,,0.88733839,-0.916810003,0.079271335,1.09070413,,515000.0,500000.0,257.24,685000.0,535000.0,323.38,253.0,31.0,25.0,High to High
